symbol,calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted
ABUS,2019,6011000.0,57601000.0,-51590000.0,-8.5825985693,57601000.0,17727000.0,0.0,77356000.0,77356000.0,2111000.0,2108000.0,54519000.0,-89555000.0,-14.8985193811,-144074000.0,-23.9683912826,-22305000.0,-166379000.0,-27.679088338,-12656000.0,-153723000.0,-25.5736150391,-2.69,-2.69
ABVC,2019,701719.0,20137.0,681582.0,0.971303328,1048553.0,3091807.0,0.0,4140360.0,4160497.0,23344.0,482014.0,195276.0,-3263502.0,-4.6507248628,-3458778.0,-4.9290071952,-551503.0,-4010281.0,-5.7149386008,-77041.0,-3933240.0,-5.6051496397,-2.25,-2.25
AC,2019,31265000.0,29810000.0,1455000.0,0.0465376619,0.0,7207000.0,0.0,16333000.0,46143000.0,13190000.0,217000.0,-57476000.0,-72354000.0,-2.3142171758,-14878000.0,-0.4758675836,70666000.0,55788000.0,1.7843595074,12126000.0,39090000.0,1.2502798657,1.74,1.74
ACA,2019,1736900000.0,1404500000.0,332400000.0,0.191375439,0.0,0.0,0.0,179500000.0,1584000000.0,1400000.0,6800000.0,86500000.0,239400000.0,0.1378317692,152900000.0,0.088030399,-6100000.0,146800000.0,0.0845183948,33500000.0,113300000.0,0.065231159,2.34,2.32
ACAD,2019,339076000.0,19598000.0,319478000.0,0.9422017483,240385000.0,325638000.0,0.0,566023000.0,585621000.0,11165000.0,0.0,2766000.0,-246545000.0,-0.7271083769,-246545000.0,-0.7271083769,12162000.0,-234383000.0,-0.6912403119,876000.0,-235259000.0,-0.6938238035,-1.6,-1.6
ACB,2019,247939000.0,88124000.0,159815000.0,0.644573867,14778000.0,279404000.0,99289000.0,456842000.0,544966000.0,3679000.0,41025000.0,82365000.0,-214662000.0,-0.865785536,-297027000.0,-1.1979841816,-31204000.0,-328231000.0,-1.3238377181,-30307000.0,-297924000.0,-1.2016020069,-3.72,-3.72
ACCD,2019,94811000.0,60568000.0,34243000.0,0.3611711721,35708000.0,19665000.0,23456000.0,88220000.0,148788000.0,0.0,2374000.0,9391000.0,-44676000.0,-0.4712111464,-53977000.0,-0.5693115778,-2464000.0,-56441000.0,-0.5953001234,55000.0,-56496000.0,-0.5958802249,-1.63,-1.63
ACCO,2019,1955700000.0,1322200000.0,633500000.0,0.3239249374,0.0,0.0,0.0,425300000.0,1747500000.0,3200000.0,43200000.0,92800000.0,289000000.0,0.1477731758,196200000.0,0.1003221353,-32700000.0,163500000.0,0.0836017794,56700000.0,106800000.0,0.0546096027,1.07,1.06
ACEL,2019,424385000.0,271999000.0,152386000.0,0.3590748966,0.0,94677000.0,0.0,139050000.0,411049000.0,0.0,12860000.0,44373000.0,57709000.0,0.1359826573,13336000.0,0.0314242963,-14001000.0,-665000.0,-0.0015669734,5199000.0,-5864000.0,-0.013817642,-0.0948,-0.0948
ACER,2019,0.0,0.0,0.0,0.0,13851018.0,16046423.0,0.0,29897441.0,29897441.0,471267.0,0.0,-8205.0,-29905646.0,0.0,-29897441.0,0.0,479472.0,-29417969.0,0.0,-537754.0,-28880215.0,0.0,-2.86,-2.86
ACET,2019,995000.0,0.0,995000.0,1.0,23691000.0,8692000.0,0.0,32383000.0,32383000.0,938000.0,0.0,4507000.0,-26881000.0,-27.016080402,-31388000.0,-31.5457286432,3269000.0,-28119000.0,-28.2603015075,19000.0,-28138000.0,-28.2793969849,-1.44,-1.44
ACGL,2019,6783919000.0,0.0,6783919000.0,1.0,0.0,80111000.0,0.0,-5018884000.0,4934809000.0,0.0,120872000.0,82104000.0,1847139000.0,0.2722819951,1765035000.0,0.2601792563,84075000.0,1849110000.0,0.2725725351,155810000.0,1636319000.0,0.2412055627,3.97,3.87
ACGLN,2019,6783919000.0,0.0,6783919000.0,1.0,0.0,80111000.0,0.0,-5018884000.0,4934809000.0,0.0,120872000.0,82104000.0,1847139000.0,0.2722819951,1765035000.0,0.2601792563,84075000.0,1849110000.0,0.2725725351,155810000.0,1636319000.0,0.2412055627,0.0,0.0
ACGLO,2019,6783919000.0,0.0,6783919000.0,1.0,0.0,80111000.0,0.0,-5018884000.0,4934809000.0,0.0,120872000.0,82104000.0,1847139000.0,0.2722819951,1765035000.0,0.2601792563,84075000.0,1849110000.0,0.2725725351,155810000.0,1636319000.0,0.2412055627,0.0,0.0
ACHC,2019,3107462000.0,1840241000.0,1267221000.0,0.4077993552,0.0,323212000.0,0.0,862689000.0,2702930000.0,0.0,187094000.0,164044000.0,568576000.0,0.1829711836,404532000.0,0.1301808357,-268544000.0,135988000.0,0.043761758,25866000.0,108923000.0,0.0350520779,1.24,1.24
ACHV,2019,0.0,0.0,0.0,0.0,9674000.0,6854000.0,0.0,16528000.0,16528000.0,170000.0,0.0,254000.0,-16528000.0,0.0,-16528000.0,0.0,133000.0,-16395000.0,0.0,-254000.0,-16141000.0,0.0,-39.15,-39.15
ACI,2019,60534500000.0,43639900000.0,16894600000.0,0.279090436,0.0,0.0,0.0,16107300000.0,59747200000.0,12300000.0,800400000.0,1738800000.0,2591400000.0,0.0428086463,787300000.0,0.0130058066,-735100000.0,52200000.0,0.0008623182,-78900000.0,131100000.0,0.0021657072,0.23,0.22
ACIW,2019,1258294000.0,617453000.0,640841000.0,0.5092935355,146573000.0,135296000.0,123684000.0,517085000.0,1134538000.0,11967000.0,64033000.0,150990000.0,274746000.0,0.2183480172,123756000.0,0.0983522134,-51546000.0,72210000.0,0.0573872243,5148000.0,67062000.0,0.0532959706,0.58,0.57
ACLS,2019,342958000.0,198806000.0,144152000.0,0.4203196893,53931000.0,31726000.0,34290000.0,119947000.0,318753000.0,2955000.0,5155000.0,7880000.0,26077000.0,0.0760355495,18197000.0,0.0530589752,2725000.0,20922000.0,0.0610045545,3888000.0,17034000.0,0.0496678894,0.52,0.5
ACLX,2019,0.0,0.0,0.0,0.0,15766000.0,2208000.0,0.0,17974000.0,17974000.0,0.0,0.0,326000.0,-17648000.0,0.0,-17974000.0,0.0,2000.0,-17972000.0,0.0,0.0,-17972000.0,0.0,-1.67,-1.67
ACM,2019,20173329000.0,19359884000.0,813445000.0,0.0403227945,0.0,148123000.0,0.0,148123000.0,19508007000.0,0.0,225994000.0,261185000.0,763101000.0,0.0378272223,501916000.0,0.0248801772,-686036000.0,-184120000.0,-0.0091269022,-130000.0,-183990000.0,-0.009120458,-1.17,-1.17
