symbol,year,E,S,G,ESG
AROW,2018,58.1875,66.58500000000001,67.715,64.1625
ARR,2018,43.06,66.7775,68.0175,59.285
ARTL,2018,57.87,59.837500000000006,65.855,61.1875
ARTNA,2018,61.9775,71.745,60.3525,64.69
ARTW,2018,71.2725,46.23,66.475,61.324999999999996
ARVN,2018,55.405,65.32,61.86,60.865
ARW,2018,73.94,64.9525,67.44,68.7775
ARWR,2018,56.5925,68.775,65.415,63.595
ASB,2018,67.055,71.04499999999999,62.2625,66.7875
ASC,2018,55.49,48.6,61.66,55.25
ASGN,2018,58.025000000000006,68.59,59.489999999999995,62.035
ASH,2018,63.2625,51.85,65.7675,60.2925
ASIX,2018,67.89750000000001,69.25,66.3925,67.8475
ASLN,2018,56.18,65.62,63.29,61.69
ASM,2018,58.24,61.45,66.13,61.94
ASMB,2018,58.66,54.205,57.377500000000005,56.7475
ASML,2018,63.47,64.44,62.47,63.46
ASND,2018,63.14,64.66,62.92,63.57
ASPN,2018,68.485,59.662499999999994,63.6425,63.93000000000001
ASPS,2018,67.32,84.8825,68.325,73.50999999999999
ASR,2018,54.97,55.61,66.83,59.14
ASRV,2018,74.565,75.3125,68.3925,72.755
ASTC,2018,61.75749999999999,63.052499999999995,63.905,62.905
ASTE,2018,69.7275,67.8125,61.2325,66.2575
ASTI,2018,77.24000000000001,57.5425,63.802499999999995,66.1925
ASUR,2018,61.2125,76.97,75.59,71.25750000000001
ASX,2018,56.62,55.8,67.01,59.81
ASXC,2018,61.44749999999999,64.9725,68.6875,65.0375
ASYS,2018,60.44,62.317499999999995,65.5875,62.782500000000006
ATEC,2018,45.1225,62.9175,64.73,57.59
ATEN,2018,60.2,54.635000000000005,62.5925,59.1425
ATEX,2018,70.185,66.38,60.02,65.53
ATGE,2018,63.21499999999999,64.7975,58.57,62.197500000000005
ATHE,2018,57.98,61.66,63.24,60.96
ATHM,2018,59.84,62.91,64.73,62.49
ATHX,2018,67.9,65.595,66.58500000000001,66.69250000000001
ATI,2018,68.15,62.0075,58.1675,62.7725
ATKR,2018,56.7975,71.3275,73.25,67.1225
ATLC,2018,57.622499999999995,68.0625,66.16499999999999,63.9525
ATLCL,2018,57.622499999999995,68.0625,66.16499999999999,63.9525
ATLCP,2018,57.622499999999995,68.0625,66.16499999999999,63.9525
ATLO,2018,61.86,63.36,63.86750000000001,63.03
ATNF,2018,33.125,81.875,63.472500000000004,59.489999999999995
ATNFW,2018,33.125,81.875,63.472500000000004,59.489999999999995
ATNI,2018,77.1725,66.82249999999999,65.4675,69.82249999999999
ATNM,2018,55.709999999999994,57.300000000000004,59.190000000000005,57.397499999999994
ATO,2018,75.845,55.2525,66.445,65.8475
ATOM,2018,67.47749999999999,54.38,59.214999999999996,60.355000000000004
ATOS,2018,53.2075,46.967499999999994,62.252500000000005,54.1425
ATR,2018,62.565,74.1325,66.61749999999999,67.7725
ATRA,2018,50.59,62.365,61.655,58.2025
ATRC,2018,66.855,61.82,62.3575,63.67750000000001
ATRI,2018,75.5475,55.94,68.1475,66.54499999999999
ATRO,2018,66.9125,69.91499999999999,57.5975,64.805
ATSG,2018,63.2825,69.2775,67.4075,66.655
ATUS,2018,78.08800000000001,59.596000000000004,67.272,68.31799999999998
ATVI,2018,66.94749999999999,76.63499999999999,62.385,68.655
ATXG,2018,58.2675,65.4325,54.7275,59.4725
ATXI,2018,50.6725,56.31,59.92,55.6325
ATXS,2018,53.64,62.5575,63.1325,59.779999999999994
AU,2018,58.15,61.54,65.17,61.62
AUB,2018,59.07,74.4625,69.35,67.63
AUBN,2018,59.0125,63.157500000000006,57.17,59.78
AUDC,2018,66.11,57.81,65.46,63.13
AUID,2018,57.0675,68.705,65.5,63.755
AUMN,2018,66.69749999999999,55.9725,65.5425,62.735
AUPH,2018,50.0,50.0,64.33,54.78
AUTL,2018,56.974999999999994,65.56,73.285,65.275
AVA,2018,74.255,77.7925,70.6425,74.2325
AVAL,2018,61.69,69.14,60.42,63.75
AVAV,2018,64.5525,58.165000000000006,63.355000000000004,62.025000000000006
AVB,2018,61.765,65.975,72.595,66.7775
AVD,2018,57.845,53.3925,65.18249999999999,58.80500000000001
AVDL,2018,65.255,59.667500000000004,68.675,64.535
AVGO,2018,59.24666666666667,60.35,59.083333333333336,59.556666666666665
AVGR,2018,56.14,59.6325,54.4375,56.7375
AVID,2018,77.8325,64.39750000000001,67.845,70.02250000000001
